"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1974 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1975 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1976 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1977 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1978 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1979 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1980 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1981 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1982 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1983 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1984 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1985 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1986 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1987 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1988 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1989 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1990 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1991 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1992 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1993 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1994 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1995 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1996 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1997 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1998 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 1999 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2000 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2001 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2002 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2003 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2004 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2005 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2006 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2007 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2008 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2009 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2010 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2011 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2012 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2013 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2014 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2015 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2016 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2017 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2018 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2019 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2020 (ha)","/Agricultura/Culturas Tempor�rias/Arroz/�rea Colhida 2021 (ha)"
"Esteio","4307708","-29.852000000000","-51.184100000000","100","210","253","226","209","166","210","140","140","350","130","130","130","130","51","210","200","68","62","55","52","52","120","120","52","52","260","260","340","470","470","460","350","350","350","350","300","350","400","400","200","200","200","200","450","450","450","450"
"Estrela","4307807","-29.501600000000","-51.960500000000","70","70","90","100","50","70","75","146","145","70","155","140","58","58","58","43","43","43","43","34","17","22","-","15","6","6","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","15","15","15","15","10","10","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Eug�nio de Castro","4307831","-28.531500000000","-54.150599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","80","100","0","150","150","146","145","70","145","145","100","100","50","50","10","12","-","10","10","1","2","-","-","-","-","-","-","-","-","-","-","-","-"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","48","48","60","60","45","45","20","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","345","290","320","340","340","400","400","198","190","70","70","70","50","20","20","20","20","20","15","15","15","15","6","6","10","10","10","10","10","10","10","5","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","747","703","851","926","851","716","800","1.010","850","855","1.000","1.000","1.300","2.000","2.000","2.000","2.000","2.000","2.200","1.200","1.300","1.350","1.400","1.465","1.515","1.765","1.815","1.815","1.820","1.815","1.915","1.765","2.015","2.002","2.002","2.002","2.000","2.001","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.900","1.900","1.900"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","86","86","60","61","62","60","60","60","60","50","50","40","40","40","40","40","-","40","10","10","10","10","3","1","-","-","-","-","-","-","-","-","-"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","2","2","-","-","-","-","-","-","-","-","-","-","-","-"
"Feliz","4308102","-29.452700000000","-51.303199999990","200","150","75","150","150","150","150","237","235","200","200","200","200","150","150","60","60","60","50","10","10","10","10","10","11","10","10","10","10","5","5","5","5","5","5","5","5","5","5","-","-","-","-","-","-","-","-","-"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","20","140","130","35","100","120","120","60","60","40","60","60","120","120","120","130","130","66","35","7","7","7","2","5","5","5","5","5","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Floriano Peixoto","4308250","-27.861400000000","-52.083799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","60","60","60","60","60","30","30","5","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","30","24","30","34","20","70","70","319","319","300","300","300","300","250","240","140","80","80","50","50","50","50","68","30","30","30","20","20","15","16","8","8","4","4","4","4","2","2","-","-","-","-","-","-","-","-","-","-"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","4.346","4.580","5.160","5.000","4.500","4.159","5.000","6.000","6.824","6.528","6.500","7.000","6.000","6.000","6.000","6.000","4.800","5.000","5.500","5.000","5.000","7.200","7.000","7.000","7.000","7.000","7.000","9.200","9.200","9.220","9.220","8.805","9.005","9.000","9.503","9.603","9.149","9.602","8.700","8.422","9.500","9.250","8.700","9.510","9.510","8.791","8.175","7.500"
"Forquetinha","4308433","-29.379200000000","-52.091700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","2","2","2","2","2","2","2","1","1","-","-","-","-","-","-","-","-","-","-"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","...","...","...","...","...","...","...","...","...","50","50","80","60","70","70","79","79","79","81","81","81","81","100","50","30","30","30","27","15","6","3","-","3","3","3","2","2","2","-","-","-","-","-","-","-","-","-","-"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","17","563","500","700","-","-","100","399","400","410","415","380","380","380","370","261","260","0","50","50","50","50","102","20","20","105","105","105","105","105","105","105","105","50","50","50","50","50","5","5","2","2","6","6","6","5","5","5"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","85","100","180","190","125","130","135","65","65","70","72","79","57","60","75","75","77","80","80","49","30","20","16","2","2","2","-","-","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Garruchos","4308656","-28.194400000000","-55.638300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.000","2.000","2.120","500","2.400","2.400","2.400","2.400","1.500","1.500","1.500","900","903","700","370","350","398","525","960","885","880","940","692","722","360","215","215","180","180"
"Gaurama","4308706","-27.585599999990","-52.091500000000","400","404","390","300","400","400","300","585","580","580","580","580","580","580","580","200","200","0","80","80","50","30","31","31","20","20","20","20","20","20","20","-","20","20","20","20","20","15","10","5","5","5","3","-","-","-","-","-"
"General C�mara","4308805","-29.903199999990","-51.761200000000","2.000","2.454","2.936","2.900","2.800","2.139","2.400","3.000","3.000","2.760","3.000","3.200","4.000","4.000","3.700","4.000","3.500","3.000","3.000","3.700","3.200","3.400","3.400","1.300","1.300","1.300","105","1.699","2.100","2.130","2.100","2.150","1.760","1.760","2.000","2.000","2.000","2.135","1.800","1.800","1.800","1.800","1.859","1.953","2.000","2.133","2.112","2.090"
"Gentil","4308854","-28.431600000000","-52.033700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","24","24","18","17","18","18","18","18","18","18","18","18","-","10","10","10","10","10","10","-","-","-","-","-","-","-","-","-","-"
"Get�lio Vargas","4308904","-27.891100000000","-52.229399999990","1.600","1.400","1.159","1.700","1.500","1.500","1.700","1.187","786","675","690","610","450","460","520","286","280","30","110","110","110","110","110","40","40","40","40","30","20","20","5","-","3","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-"
"Giru�","4309001","-28.029699999990","-54.351700000000","270","250","200","315","315","300","300","366","365","300","302","313","323","360","360","360","360","40","600","700","500","500","376","150","90","260","350","220","220","90","90","40","50","50","50","50","50","30","30","-","-","-","-","-","-","-","-","-"
"Glorinha","4309050","-29.879799999990","-50.773400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1.500","1.300","1.300","1.200","1.300","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.198","1.198","1.198","1.198","870","870","1.300","1.938","1.938","1.938","1.920","2.100","1.950","2.000","2.000","2.000","1.900","1.390"
"Gramado","4309100","-29.373300000000","-50.876199999990","45","150","130","150","160","150","155","122","125","100","100","100","96","96","90","85","85","85","70","50","50","50","5","12","12","10","10","6","6","6","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","30","38","38","30","38","38","30","30","30","26","-","5","1","1","2","2","2","2","2","2","-","-","-","-","-","-","-"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","168","170","35","13","13","13","13","10","10","10","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"Gravata�","4309209","-29.941299999990","-50.986899999990","1.000","686","998","1.000","800","751","850","588","588","850","760","1.130","1.130","2.020","1.900","200","200","300","270","400","400","465","465","400","400","450","430","430","550","550","550","500","550","452","452","900","725","725","503","500","500","500","500","500","800","800","800","800"
"Guabiju","4309258","-28.542100000000","-51.694800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","35","35","35","35","35","26","22","22","15","10","10","10","10","10","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gua�ba","4309308","-30.108599999990","-51.323300000000","3.152","3.317","3.709","3.600","3.550","3.265","3.500","4.340","3.695","3.395","5.300","5.400","5.658","7.500","7.800","2.812","2.815","2.102","2.202","1.552","1.759","1.950","2.256","2.800","2.800","3.000","2.460","2.363","2.903","2.903","2.433","3.180","3.469","3.741","3.728","3.762","3.798","3.959","3.606","3.990","3.900","4.041","3.948","3.952","3.950","3.929","3.876","3.876"
"Guapor�","4309407","-28.839900000000","-51.889499999990","635","325","430","550","620","625","600","378","370","230","230","230","115","200","200","110","110","110","110","86","86","86","40","50","30","30","30","30","20","20","10","10","10","10","10","3","3","3","1","1","1","1","1","1","1","1","-","-"
"Guarani das Miss�es","4309506","-28.149100000000","-54.562899999990","300","420","320","350","350","350","360","129","150","130","150","180","220","410","410","210","150","175","175","190","150","190","80","80","80","80","40","40","40","40","15","-","15","15","5","5","-","-","-","-","-","40","-","-","-","-","-","-"
"Harmonia","4309555","-29.545600000000","-51.418500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","60","35","35","35","35","35","25","10","10","5","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","-","-","-","-","-","-"
"Herval","4307104","-32.024000000000","-53.394399999990","90","100","120","800","1.740","1.095","1.500","1.400","2.000","2.200","2.500","3.000","3.000","3.000","3.000","1.890","300","1.500","1.500","3.000","4.000","5.500","2.300","2.600","2.800","3.430","2.880","400","400","240","240","644","500","500","400","550","600","650","480","500","550","550","720","700","720","150","-","350"
"Herveiras","4309571","-29.455200000000","-52.655299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","46","46","20","15","15","15","15","12","10","10","10","2","2","2","-","-","-","-","-","-","-","-","-","-","-"
"Horizontina","4309605","-27.628200000000","-54.305300000000","450","450","400","280","280","150","120","78","80","30","200","200","46","50","80","58","58","78","33","45","45","45","7","25","25","25","25","25","25","25","8","-","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","900","1.200","1.400","1.118","2.000","1.352","2.500","2.000","3.000","2.550","699","875","1.790","1.500","600","1.100","1.100","1.100","1.542","1.200","1.100","1.100","1.200","1.235","938","812","545","600","543"
"Humait�","4309704","-27.569099999990","-53.969499999990","200","200","200","200","200","180","220","130","130","80","70","70","70","70","50","38","38","13","25","20","20","20","7","20","20","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ibarama","4309753","-29.420300000000","-53.129500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","160","162","10","57","107","57","41","22","21","21","21","10","10","15","15","12","-","6","6","3","3","3","3","1","5","5","5","8","10","8","8","-","8"
"Ibia��","4309803","-28.056600000000","-51.859900000000","200","145","205","200","200","-","195","297","295","290","270","250","230","115","115","110","100","0","100","100","100","100","20","60","60","18","18","16","16","10","5","-","5","5","5","5","5","5","2","2","2","-","-","-","-","-","-","-"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","200","200","220","200","160","125","112","270","275","220","220","220","220","220","220","190","190","190","190","190","50","50","22","50","50","50","50","50","25","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ibirapuit�","4309951","-28.624700000000","-52.515799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","70","0","52","72","52","52","70","50","50","50","50","44","44","44","44","-","25","25","20","20","15","10","-","-","-","-","-","-","-","-","-","-"
"Ibirub�","4310009","-28.630199999990","-53.096100000000","100","100","100","100","100","250","250","149","180","130","150","150","150","165","165","135","135","53","133","133","110","110","40","110","110","35","35","35","45","45","28","8","8","8","8","8","8","5","15","10","5","3","3","3","10","-","-","-"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","50","20","40","40","38","38","20","61","61","54","50","35","32","29","20","80","20","20","20","20","20","20","17","20","20","20","20","10","10","10","10","8","6","6","6","6","5","6","3","3","1","1","-","-","-","-","-","1"
"Iju�","4310207","-28.388100000000","-53.920000000000","150","150","150","180","220","170","150","315","351","110","280","160","196","380","560","380","240","165","225","205","105","100","100","110","110","110","110","80","80","80","80","30","50","50","50","30","30","15","15","10","10","5","-","-","-","-","-","-"
"Il�polis","4310306","-28.928200000000","-52.125799999990","110","102","120","127","145","165","90","98","96","120","120","120","120","100","100","113","113","100","100","100","100","100","24","20","2","2","2","2","3","3","4","4","3","3","3","3","3","3","3","3","3","3","3","2","2","2","2","2"
"Imb�","4310330","-29.975300000000","-50.128100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","102","100","100","100","100","80","80","120","120","120","120","120","120","120","120","120","120","120","120","-","-","-","-","-","-","-","-","-","-","-","-","...","-"
"Imigrante","4310363","-29.350800000000","-51.774700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","20","20","20","20","20","20","8","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Independ�ncia","4310405","-27.835400000000","-54.188600000000","200","220","200","120","100","120","100","144","140","70","70","70","55","80","60","60","60","60","250","250","250","130","130","130","130","130","130","130","130","130","130","80","50","30","30","-","-","8","8","8","8","8","8","8","8","8","-","-"
"Inhacor�","4310413","-27.875200000000","-54.015000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10","20","18","50","18","18","18","18","10","10","10","10","10","10","10","5","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ip�","4310439","-28.817100000000","-51.285899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","40","40","40","40","10","15","15","12","15","15","15","15","15","15","15","15","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","33","33","3","33","33","33","33","33","33","33","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ira�","4310504","-27.195100000000","-53.254300000000","40","206","170","170","100","100","80","213","200","120","130","135","145","148","160","150","150","0","150","140","140","140","44","60","60","50","50","50","50","50","50","50","50","50","50","50","30","30","10","10","10","10","3","8","3","3","3","3"
"Itaara","4310538","-29.601299999990","-53.772500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.025","615","615","1.215","2.815","4.365","5.015","2.700","4.000","2.975","3.500","4.000","3.000","1.800","1.800","2.550","1.936","2.000","1.600","2.100","1.523","1.650","1.285","1.320","670","760","798","760","750","750","750","625","750"
"Itapuca","4310579","-28.776800000000","-52.169300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","108","108","108","80","40","25","20","10","10","5","3","3","-","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itaqui","4310603","-29.131000000000","-56.551499999990","20.406","25.451","29.991","27.000","24.850","31.424","35.283","39.520","33.953","37.800","44.000","45.000","46.000","48.000","50.000","47.000","50.000","51.700","58.000","65.000","71.000","71.000","61.500","35.000","42.980","58.700","59.563","53.023","54.765","49.651","54.248","53.423","62.000","54.824","65.500","65.300","62.240","73.714","70.800","81.384","81.222","80.425","69.839","77.000","77.000","66.407","66.400","58.209"
"Itati","4310652","-29.488320000000","-50.113579999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","25","10","10","10","10","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","410","400","450","460","460","-","150","110","110","55","50","50","50","40","40","40","40","-","25","25","25","25","30","30","5","9","9","9","3","11","11","-","5","5","5","2","2","2","-","-","-","-","-","-","-","-","-","-"
"Ivor�","4310751","-29.523199999990","-53.584200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","20","20","20","25","44","21","55","55","55","40","35","35","35","35","35","35","35","40","40","45","45","50","50","50","50","50","50","50","50","50","40"
"Ivoti","4310801","-29.599499999990","-51.153300000000","20","100","85","125","125","40","75","87","79","13","13","13","13","11","10","12","12","11","12","1","1","1","1","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jaboticaba","4310850","-27.634699999990","-53.276200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","150","150","160","190","190","160","160","58","120","120","120","120","120","120","120","120","120","120","120","120","120","15","15","10","10","-","-","-","-","-","-","-","-"
"Jacuizinho","4310876","-29.021999999990","-53.053699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9","9","8","6","-","6","6","6","6","6","4","-","-","-","-","-","-","-","-","-","-"
"Jacutinga","4310900","-27.729099999990","-52.537199999990","760","700","450","650","700","-","600","193","195","200","190","200","220","150","220","220","220","0","170","70","70","70","20","20","35","35","35","23","23","23","15","15","2","2","2","-","2","-","-","-","-","-","-","-","-","-","-","-"
"Jaguar�o","4311007","-32.560400000000","-53.377000000000","12.047","11.824","12.559","16.291","13.000","11.457","13.200","13.500","14.000","14.000","14.000","14.000","14.000","14.000","14.000","15.300","13.300","17.600","22.000","22.535","22.290","22.000","22.599","20.394","21.495","22.500","20.830","18.600","17.717","18.000","17.232","19.270","17.800","17.800","20.200","21.200","20.594","21.450","20.312","19.952","22.188","21.600","22.215","21.475","20.303","18.932","18.108","18.019"
"Jaguari","4311106","-29.493600000000","-54.703000000000","375","615","880","871","900","658","950","950","1.000","720","1.000","1.000","1.350","2.193","2.200","2.104","2.110","2.110","2.310","2.420","2.350","2.310","2.310","2.050","2.050","2.250","2.550","2.350","2.350","2.380","2.480","2.320","2.450","2.450","2.450","2.450","2.300","2.400","1.800","2.205","2.200","2.197","2.180","2.200","2.198","1.980","1.887","1.850"
"Jaquirana","4311122","-28.881100000000","-50.363700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","16","10","16","20","20","20","2","8","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jari","4311130","-29.292200000000","-54.223700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","70","70","40","40","35","25","40","30","30","30","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"J�ia","4311155","-28.643500000000","-54.114100000000","...","...","...","...","...","...","...","...","...","300","300","300","270","295","280","300","260","257","207","200","100","50","150","75","75","75","75","75","50","30","30","-","5","10","10","10","10","10","10","-","-","-","-","-","-","-","2","2"
"J�lio de Castilhos","4311205","-29.229800000000","-53.677199999990","350","350","350","300","350","300","300","450","450","450","450","450","350","400","400","370","650","650","750","600","600","400","400","400","350","300","300","90","120","120","80","50","50","30","20","10","10","5","-","-","-","-","-","-","-","-","-","-"
"Lagoa Bonita do Sul","4311239","-29.488199999990","-53.013800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","5","5","5","5","3","3","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-"
"Lagoa dos Tr�s Cantos","4311270","-28.567599999990","-52.861800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","16","16","9","5","2","5","5","5","5","5","5","-","5","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lagoa Vermelha","4311304","-28.209299999990","-51.524799999990","180","160","200","300","320","320","605","380","380","470","500","500","500","500","500","330","330","330","330","230","230","230","230","214","214","214","50","20","10","10","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lago�o","4311254","-29.234800000000","-52.799700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","40","70","100","10","60","60","60","55","40","40","55","55","55","55","55","35","-","30","30","30","30","15","15","10","5","-","-","-","-","-","-","-","-"
"Lajeado","4311403","-29.459099999990","-51.964399999990","100","100","90","100","120","100","100","380","400","420","400","450","430","430","430","288","288","250","250","150","150","150","60","20","5","5","5","1","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lajeado do Bugre","4311429","-27.691299999990","-53.181800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","100","100","50","30","15","15","15","15","15","15","15","15","15","20","20","20","20","3","3","-","-","-","-","-","-","-","-","-","-"
"Lavras do Sul","4311502","-30.807099999990","-53.893099999990","1.300","1.838","2.188","4.065","4.065","2.089","3.643","2.040","3.500","3.255","2.920","2.820","1.200","2.500","2.500","2.500","1.750","1.750","2.200","2.500","3.500","1.950","1.872","1.470","1.470","1.470","1.470","1.470","2.500","2.500","3.090","3.090","3.100","3.100","3.100","3.500","3.500","3.100","3.100","3.100","3.100","3.100","3.100","3.386","3.375","3.753","3.055","3.093"
"Liberato Salzano","4311601","-27.600999999990","-53.075299999990","150","181","180","281","250","45","100","100","100","50","60","60","60","40","40","50","30","30","30","40","40","40","67","55","40","20","20","20","20","20","20","20","20","20","20","20","5","-","-","-","-","-","-","-","-","-","-","-"
"Lindolfo Collor","4311627","-29.585899999990","-51.214100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8","8","8","8","5","5","5","5","5","5","5","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Linha Nova","4311643","-29.467900000000","-51.200299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13","13","8","8","8","8","8","8","8","8","8","8","8","8","8","5","5","5","5","5","5","5","5","5","5","5","5","3","3"
"Ma�ambar�","4311718","-29.144500000000","-56.067399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","23.000","13.000","16.385","17.369","17.624","20.030","17.333","20.592","15.380","18.140","13.964","17.050","18.050","17.000","18.090","13.605","15.298","15.808","16.200","15.732","16.000","16.000","19.705","20.605","17.895"
"Machadinho","4311700","-27.566700000000","-51.666800000000","450","450","410","440","500","400","550","677","670","350","200","200","200","200","200","200","200","200","200","200","200","200","113","100","50","10","10","10","10","3","3","-","-","-","-","-","-","-","-","-","-","-","-","1","2","2","2","2"
"Mampituba","4311734","-29.213600000000","-49.931100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","417","924","1.206","1.206","1.206","1.206","1.201","1.201","888","888","922","1.115","1.115","1.115","1.280","900","900","900","900","900","900","900","900","900","900"
"Manoel Viana","4311759","-29.585899999990","-55.484099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.200","3.200","4.000","4.000","3.500","3.500","3.500","3.500","4.000","3.960","3.200","3.000","4.153","4.150","3.735","4.000","4.100","3.545","4.350","3.793","3.470","3.064","3.006","1.537","3.362","2.618","1.000","2.542","2.600"
"Maquin�","4311775","-29.679800000000","-50.207900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","50","50","50","20","20","35","20","20","20","20","20","350","350","350","180","300","350","500","350","350","350","350","350","350","350","380","385","385","385"
"Marat�","4311791","-29.545700000000","-51.557299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7","7","7","9","7","7","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","-","-","-","-","-","-"
