"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1974 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1975 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1976 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1977 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1978 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1979 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1980 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1981 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1982 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1983 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1984 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1985 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1986 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1987 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1988 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1989 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1990 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1991 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1992 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1993 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1994 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1995 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1996 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1997 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1998 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 1999 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2000 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2001 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2002 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2003 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2004 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2005 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2006 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2007 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2008 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2009 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2010 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2011 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2012 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2013 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2014 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2015 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2016 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2017 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2018 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2019 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2020 (t)","/Agricultura/Culturas Tempor�rias/Arroz/Quantidade Produzida 2021 (t)"
"Nova Candel�ria","4313011","-27.613700000000","-54.107399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3","3","3","3","3","3","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Esperan�a do Sul","4313037","-29.406600000000","-54.829300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","564","556","500","1.716","1.696","1.395","1.395","1.248","1.300","1.500","1.890","2.000","2.200","2.200","1.755","2.580","2.860","2.580","2.451","1.890","1.800","1.242","2.400","1.610","1.610","1.725","1.463","1.375","1.600","1.600","1.224","1.350","1.500"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","76","76","48","54","14","6","6","10","6","6","13","13","13","13","6","6","6","6","6","6","6","6","6","6","6","6","-","-","-","1","1","1","-"
"Nova P�dua","4313086","-29.027500000000","-51.309800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","17","17","17","-","17","15","15","15","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","420","420","840","840","840","650","840","120","60","57","60","70","-","72","170","99","73","80","405","465","520","630","742","662","662","847","853","885","990","1.218","1.315","1.050","1.050","1.138","1.138","1.138","500","975","1.125","1.050","1.050","1.050","1.050","1.050","1.050","1.050","1.200","1.350"
"Nova Petr�polis","4313201","-29.374099999990","-51.113500000000","102","240","300","120","120","126","132","289","196","196","200","300","180","240","180","165","300","105","18","14","14","14","17","14","9","9","9","9","7","10","10","4","2","2","2","2","2","2","2","-","-","-","-","-","-","-","-","-"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","780","750","765","705","533","252","630","642","378","504","630","630","420","600","480","225","225","12","120","120","60","60","25","25","15","5","5","5","3","-","-","-","-","-","-","-","-","-","2","2","-","-","-","-","-","-","-","-"
"Nova Ramada","4313334","-28.066700000000","-53.699199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","170","175","150","88","115","79","97","72","45","54","36","36","29","21","6","-","-","-","-","-","-","-","-","-","-"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","60","60","15","60","60","60","60","1","45","45","45","15","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","10.610","13.043","13.043","13.043","13.043","8.800","8.800","8.000","6.400","6.400","6.400","6.400","6.750","7.650","12.190","14.950","22.750","19.500","15.705","27.300","27.300","27.300","27.300","27.300","27.300","28.700","28.462","28.380","28.274"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","260","260","200","103","200","200","60","60","60","60","60","60","48","60","60","60","60","20","20","5","-","-","-","-","-","-","-","-","-"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","8.216","7.509","9.610","9.620","8.020","7.071","8.568","11.743","12.726","13.493","13.907","14.238","14.906","12.198","14.973","12.000","14.440","12.408","14.235","13.455","12.330","11.880","12.705","10.692","14.025"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","32","46","15","32","28","19","30","8","21","23","62","66","11","27","28","2","2","64","72","227","-","-","5","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","18","18","21","17","9","26","26","26","26","26","26","26","3","6","6","6","-","-","6","6","6","10","10","10","-","10","10","-","-"
"Novo Tiradentes","4313441","-27.564900000000","-53.183700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","48","52","52","24","20","52","52","52","52","52","52","52","36","40","40","40","40","-","-","-","-","-","-","-","-","-","-","-","-"
"Novo Xingu","4313466","-27.743099999990","-53.061599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","18","5","6","6","2","6","6","5","5","6","-","-","-","-","-","-","-","-","-","-","-"
"Os�rio","4313508","-29.888100000000","-50.266700000000","42.804","35.819","37.471","43.750","46.150","30.723","44.000","41.303","56.284","13.160","15.379","15.954","18.924","23.220","23.265","19.544","14.080","17.480","16.420","17.120","17.015","17.015","13.615","13.650","11.575","13.615","13.615","8.115","18.015","18.015","26.508","26.197","26.281","26.281","18.000","18.000","16.500","21.000","26.086","27.525","27.000","26.000","22.050","26.000","26.000","27.240","27.200","28.560"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","102","249","225","400","50","44","500","124","120","840","480","240","126","252","258","150","180","0","250","180","180","180","63","180","180","90","90","90","90","90","90","-","45","22","23","8","8","8","8","8","3","-","-","-","-","-","-","-"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","...","...","...","...","...","...","...","...","...","38.000","70.828","73.858","83.300","87.500","87.500","87.500","106.273","84.550","99.000","110.970","96.088","116.424","123.725","56.616","53.300","97.926","82.464","74.218","77.310","74.916","101.326","126.997","115.445","115.661","115.944","125.978","125.978","142.545","160.961","159.103","148.467","141.898","112.500","136.500","116.325","90.172","82.166","96.200"
"Palmeira das Miss�es","4313706","-27.900600000000","-53.313400000000","650","1.470","1.069","1.260","350","288","1.600","1.352","780","1.080","1.200","815","116","330","870","1.920","1.920","415","2.000","940","960","758","198","700","630","630","630","625","625","625","625","476","800","800","800","300","800","-","-","-","-","-","-","-","-","-","-","-"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","18","100","100","728","-","-","900","240","140","132","230","200","180","240","130","247","475","0","150","105","105","105","85","105","105","120","120","120","120","120","120","120","120","120","120","60","60","60","-","-","-","-","-","-","-","2","2","2"
"Panambi","4313904","-28.283300000000","-53.502299999990","375","550","660","660","144","300","500","197","326","270","340","325","240","106","108","147","105","0","152","125","125","125","32","100","125","53","48","48","38","50","50","10","31","18","9","18","15","15","-","-","-","-","-","-","-","-","-","-"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","22.000","22.000","18.400","24.720","23.175","16.200","20.000","15.000","15.000","13.600","21.840","21.840","19.200","18.600","16.000","27.500","27.313","30.000","30.000","32.500","35.000","30.250","40.600","36.480","33.505","31.155","32.550","24.569","33.150","33.150","38.505","35.700","39.900"
"Para�","4314001","-28.596399999990","-51.789600000000","240","225","240","195","117","55","137","123","79","108","135","135","90","144","90","143","143","18","135","105","75","53","30","15","15","12","8","8","4","2","1","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Para�so do Sul","4314027","-29.671700000000","-53.143999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16.625","11.075","8.415","11.075","11.075","10.938","13.700","14.776","13.825","10.795","18.543","15.693","16.683","22.465","20.170","24.771","21.644","25.460","27.503","30.814","30.598","20.012","31.215","24.671","29.819","27.126","28.500","24.201","30.227","30.120","28.913","29.573","27.550"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4","4","4","1","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Parob�","4314050","-29.624300000000","-50.831200000000","...","...","...","...","...","...","...","...","...","36","106","175","119","123","-","86","86","70","70","70","45","45","3","45","6","2","-","-","2","48","48","19","73","73","73","87","152","107","86","158","261","-","-","-","-","-","-","-"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","54","54","45","45","54","54","54","27","9","54","18","-","15","-","-","-","-","-","-","-","-","-","-","-","-"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.800","1.575","2.470","2.385","2.720","3.868","4.510","4.970","4.560","6.155","3.429","4.458","3.182","4.275","4.275","3.900","5.160","5.990","7.475","6.500","5.200","5.200","5.200","4.898","3.543","3.695","4.218","4.418","4.500"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","250","705","318","1.660","120","150","420","1.080","1.160","1.298","1.200","1.200","500","1.450","655","556","540","184","546","270","270","270","127","237","315","120","150","240","120","105","75","9","54","63","42","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Paulo Bento","4314134","-27.697800000000","-52.426099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","14","7","10","6","-","10","4","3","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Paverama","4314159","-29.548500000000","-51.733899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","52","59","40","52","53","41","43","10","7","7","-","-","-","-","8","0","2","-","-","6","6","7","9","-","-","-","-","-","-","-","-","-","-"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.500","12.500","12.500","9.472","11.858","12.190","12.650","13.064","16.591","16.591","16.369","6.750","16.560","16.560","14.800","14.800","18.938","11.475","6.156","4.066","4.967"
"Pedro Os�rio","4314209","-31.864200000000","-52.818399999990","6.703","8.615","6.802","10.000","8.000","6.767","8.280","11.501","13.920","11.020","13.500","13.500","14.850","10.560","18.150","24.600","12.500","15.000","10.500","15.000","15.000","15.600","19.296","7.600","21.400","22.550","19.844","22.550","19.680","18.700","20.400","18.080","16.320","16.320","18.850","20.616","23.450","37.247","27.476","29.182","32.883","33.422","27.650","34.332","21.978","17.166","21.297","35.050"
"Peju�ara","4314308","-28.428300000000","-53.657899999990","150","200","240","240","-","105","163","75","237","78","98","98","120","198","25","198","150","108","246","128","120","120","72","45","72","72","23","63","54","54","-","-","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pelotas","4314407","-31.764900000000","-52.337100000000","28.925","34.185","42.636","36.000","30.680","27.448","38.000","44.100","44.100","40.454","54.050","46.000","52.500","60.000","60.000","60.000","33.600","37.800","39.360","42.000","53.750","59.125","50.884","40.920","28.600","41.250","42.350","51.150","46.545","43.597","56.589","35.357","46.919","56.030","69.030","69.799","70.723","72.857","52.608","61.476","53.038","66.182","63.330","71.399","70.507","62.002","67.228","76.483"
"Picada Caf�","4314423","-29.446400000000","-51.136699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","12","12","10","6","6","10","5","5","5","6","5","1","6","6","6","6","6","3","2","3","3","2","2","2","2","2","2","2"
"Pinhal","4314456","-27.507999999990","-53.208199999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","114","114","14","126","126","90","90","27","36","36","36","36","36","36","36","36","36","20","20","20","20","4","-","-","-","-","-","-","-","-","-","-","-"
"Pinhal da Serra","4314464","-27.863399999990","-51.170200000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19","38","19","19","-","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Pinhal Grande","4314472","-29.344999999990","-53.320700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","200","100","80","99","12","80","60","145","320","625","490","790","840","860","930","720","780","625","-","-","-","-","-","-","-","-","-","-","-"
"Pinheirinho do Vale","4314498","-27.210899999990","-53.607999999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","54","36","36","59","36","36","95","101","101","101","101","101","101","101","101","101","-","-","-","-","-","-","3","3","3","3","3","3","3"
"Pinheiro Machado","4314506","-31.579400000000","-53.379800000000","172","301","304","850","1.904","1.629","3.200","2.266","2.200","1.048","4.305","3.790","705","3.205","3.240","1.940","1.300","1.300","2.506","3.760","1.590","1.760","1.534","2.000","750","2.500","2.500","2.500","2.340","2.340","102","213","275","275","283","288","288","282","-","-","-","-","-","522","525","525","-","345"
"Pinto Bandeira","4314548","-29.000000000000","-54.000000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-"
"Pirap�","4314555","-28.043900000000","-55.200099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","63","88","263","440","525","395","258","54","248","150","-","115","15","12","20","8","-","10","22","6","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Piratini","4314605","-31.447299999990","-53.097299999990","1.501","1.777","1.211","9.000","10.000","1.007","8.000","1.680","2.100","1.680","1.680","1.680","1.680","1.680","966","1.914","1.914","2.560","4.840","4.440","5.890","7.840","6.280","6.280","5.280","5.280","5.280","5.280","4.500","4.760","6.229","6.264","5.932","5.220","5.200","5.393","4.874","4.849","4.244","4.942","4.187","4.799","4.840","6.287","5.321","5.115","4.411","4.073"
"Planalto","4314704","-27.329699999990","-53.057500000000","61","309","414","414","60","75","270","225","175","206","188","150","81","49","115","264","264","0","375","262","315","315","70","75","90","200","200","250","250","250","250","250","175","175","175","75","75","35","1","3","3","3","3","3","3","2","1","2"
"Po�o das Antas","4314753","-29.448100000000","-51.671900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","13","0","10","11","12","11","14","7","7","7","7","4","4","4","5","-","4","2","2","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Pont�o","4314779","-28.058499999990","-52.679099999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","80","240","180","224","180","180","120","120","150","40","72","38","20","48","36","30","30","30","41","-","-","-","-","-","-","-","-","-","-"
"Ponte Preta","4314787","-27.658700000000","-52.484800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","70","70","90","41","66","54","30","30","23","23","15","14","-","15","15","15","5","15","16","-","-","-","-","-","-","-","-","-","-"
"Port�o","4314803","-29.701499999990","-51.242899999990","112","40","146","50","90","58","38","7","3","11","11","11","5","9","7","7","6","8","8","9","12","10","10","10","10","10","10","10","10","10","10","5","728","771","771","1.026","1.026","851","1.008","1.008","1.008","1.008","1.008","1.156","1.008","1.096","1.011","1.016"
"Porto Alegre","4314902","-30.032778000000","-51.230000000000","429","1.796","1.167","1.870","1.360","223","-","11","173","554","500","528","2.240","3.825","3.250","2.420","2.000","2.500","2.500","3.010","3.014","3.192","3.792","2.926","3.476","4.752","4.752","4.752","4.752","5.400","2.500","3.000","2.592","2.517","3.050","3.050","2.750","1.775","1.811","1.925","1.775","2.781","3.028","2.597","4.577","5.229","2.590","2.611"
"Porto Lucena","4315008","-27.856900000000","-55.009999999990","105","130","130","130","70","30","75","97","65","150","209","180","20","180","72","144","115","14","72","40","40","40","9","21","38","8","9","20","5","44","0","-","5","8","1","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Porto Mau�","4315057","-27.579599999990","-54.665700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","6","6","6","1","6","6","6","6","6","6","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-","-"
"Porto Vera Cruz","4315073","-27.740500000000","-54.899400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12","12","12","-","10","10","10","10","10","10","10","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Porto Xavier","4315107","-27.908200000000","-55.137900000000","60","111","105","105","75","21","75","126","67","101","107","107","25","99","33","114","135","143","1.373","970","1.455","1.190","528","12","28","320","220","30","10","8","2","-","6","8","5","1","2","-","-","-","-","-","-","-","-","-","-","-"
"Pouso Novo","4315131","-29.173800000000","-52.213600000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","24","24","0","42","42","42","42","48","36","56","30","30","39","45","32","32","-","18","32","32","18","13","-","-","-","-","-","-","-","-","-","-","-"
"Presidente Lucena","4315149","-29.517600000000","-51.179800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","24","24","24","16","15","6","9","9","9","5","6","4","1","4","4","5","4","4","4","2","3","2","2","2","2","2","2","2","2"
"Progresso","4315156","-29.244199999990","-52.319699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","125","125","18","156","153","160","160","120","258","258","138","138","127","127","127","127","-","28","38","38","38","30","21","7","21","21","26","21","24","24","18","-","-"
"Prot�sio Alves","4315172","-28.757200000000","-51.475700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","195","195","60","156","156","91","91","21","36","36","24","24","24","18","23","20","15","15","15","15","15","15","-","-","-","-","-","-","-","-","-","-","-"
"Putinga","4315206","-29.004500000000","-52.156900000000","120","220","350","221","166","157","270","150","56","210","280","280","84","280","224","280","280","20","200","200","200","200","80","20","12","12","12","12","12","12","3","-","10","12","5","-","-","-","-","-","-","-","-","2","2","2","2","2"
"Quara�","4315305","-30.384000000000","-56.448300000000","4.037","5.417","7.221","12.000","13.125","13.392","17.550","14.915","14.440","25.056","38.064","33.840","30.492","40.544","37.825","28.500","20.076","24.750","39.000","50.000","25.800","49.500","41.592","38.460","38.250","51.615","38.187","64.641","73.018","51.749","75.268","63.189","92.374","61.912","96.363","101.269","94.879","101.752","74.825","75.457","91.096","103.211","80.996","101.067","98.971","89.050","95.245","90.231"
"Quatro Irm�os","4315313","-27.816299999990","-52.441899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","14","7","3","4","2","4","4","5","2","9","9","1","-","-","-","-","-","-","-","-","-"
"Quevedos","4315321","-29.350400000000","-54.078899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","192","210","184","39","90","108","72","14","24","18","18","5","2","3","1","1","-","-","1","-","-","-","-","-","-","-","-","-","-"
"Quinze de Novembro","4315354","-28.746500000000","-53.101100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","104","104","44","158","158","148","100","59","41","46","64","51","30","20","24","2","-","6","4","4","2","2","4","-","-","-","-","-","-","-","-","-","-"
"Redentora","4315404","-27.664000000000","-53.640700000000","720","540","540","450","10","-","260","143","70","154","165","170","70","100","55","90","90","29","110","150","620","495","132","270","245","200","200","200","200","200","200","160","160","160","160","160","125","18","4","-","-","-","-","-","-","-","-","-"
"Relvado","4315453","-29.116399999990","-52.077800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","68","68","14","74","57","57","57","36","34","34","34","34","32","10","10","7","1","8","11","8","4","4","4","2","2","2","2","1","3","2","3","-","-"
"Restinga S�ca","4315503","-29.818800000000","-53.380699999990","21.852","25.886","27.414","30.485","29.156","18.682","29.600","33.600","38.400","23.014","38.985","38.190","17.509","50.012","60.506","60.064","50.606","57.203","53.356","60.510","44.009","58.839","51.525","55.514","30.502","72.030","72.514","80.618","101.402","79.360","100.443","95.639","110.250","117.640","117.640","123.895","55.000","135.238","105.938","114.069","116.818","114.996","100.219","114.982","125.356","91.020","121.126","123.600"
"Rio dos �ndios","4315552","-27.297300000000","-52.841700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","80","80","80","54","54","40","54","54","60","13","9","4","-","6","11","11","9","9","9","9","9","4","4","4","4","-","-","-","-"
"Rio Grande","4315602","-32.034900000000","-52.107100000000","44.003","43.291","39.646","34.200","19.270","40.515","30.600","53.445","55.302","54.735","68.400","75.200","81.600","81.600","102.600","132.080","109.200","100.800","120.000","148.400","119.000","118.300","60.122","102.000","79.800","97.200","104.000","84.000","67.620","64.860","85.680","104.539","102.312","129.425","123.525","148.500","159.161","180.400","154.775","165.056","172.540","197.326","163.450","179.125","149.705","156.429","174.325","184.658"
"Rio Pardo","4315701","-29.988000000000","-52.371099999990","51.215","48.929","48.555","51.480","62.420","32.662","56.150","61.050","58.120","51.310","60.200","60.360","47.250","67.900","67.650","49.150","45.200","40.600","43.200","45.200","34.040","38.290","27.907","34.132","25.205","39.004","41.605","36.805","44.205","45.758","60.210","58.012","57.240","68.298","69.348","71.328","54.638","82.600","69.000","70.750","61.047","65.999","40.130","58.089","61.200","58.140","55.055","69.700"
"Riozinho","4315750","-29.638999999990","-50.448799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","30","30","20","20","20","24","24","22","24","30","56","30","30","30","15","15","15","15","15","15","16","16","4","4","4","4","4","4","4","4","2","2","-"
"Roca Sales","4315800","-29.288399999990","-51.865800000000","96","96","76","56","42","12","20","43","18","30","58","38","17","45","56","48","41","0","50","48","48","48","8","34","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Rodeio Bonito","4315909","-27.474200000000","-53.170600000000","60","816","458","288","50","15","360","300","195","270","308","276","200","126","621","602","390","0","144","151","195","179","53","92","92","92","92","92","92","92","92","92","92","92","92","35","35","92","4","-","2","-","-","-","-","-","-","-"
"Rolador","4315958","-28.257670000000","-54.818640000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","515","250","260","50","10","25","25","10","10","10","10","100","120","160","-","-","-","-","-","-","-"
"Rolante","4316006","-29.646200000000","-50.581899999990","224","135","120","277","255","190","148","286","228","235","211","313","335","205","-","290","548","523","573","490","361","361","35","129","129","65","65","90","270","325","500","405","365","365","380","480","480","600","1.120","1.280","1.280","1.280","1.700","2.125","2.100","2.380","2.380","2.550"
"Ronda Alta","4316105","-27.775800000000","-52.805599999990","150","951","285","900","588","58","1.000","237","81","625","600","1.140","800","1.200","160","777","740","-","1.270","567","380","380","168","380","275","185","75","75","75","45","15","5","9","9","9","8","8","-","-","-","-","-","-","-","-","-","-","-"
"Rondinha","4316204","-27.831499999990","-52.908099999990","450","154","570","234","108","7","280","136","36","130","78","78","27","41","45","45","60","0","37","24","24","24","72","30","30","45","24","24","24","24","24","4","9","9","9","5","6","-","-","-","-","-","-","-","-","-","-","-"
"Roque Gonzales","4316303","-28.129700000000","-55.026600000000","100","210","300","300","190","54","128","140","63","81","42","26","12","160","84","60","40","5","100","690","1.425","608","12","13","18","15","18","18","5","9","7","-","8","8","8","2","8","-","-","-","-","-","-","-","-","-","-","-"
"Ros�rio do Sul","4316402","-30.251500000000","-54.922100000000","29.261","31.652","37.925","50.250","54.500","21.931","42.000","49.525","47.970","33.475","60.000","60.000","53.200","55.200","68.600","66.300","40.755","63.245","82.500","97.888","82.000","101.465","84.600","67.500","57.000","127.449","117.720","119.520","121.800","86.029","125.454","124.129","138.026","102.075","155.100","157.300","118.000","173.116","146.661","150.144","160.593","171.200","141.360","169.752","154.800","121.512","141.203","126.004"
"Sagrada Fam�lia","4316428","-27.708500000000","-53.135100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","240","240","120","32","60","60","24","24","24","24","24","24","19","24","24","24","24","2","-","-","-","-","-","-","-","-","-","-","-"
"Saldanha Marinho","4316436","-28.394100000000","-53.097000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","68","68","10","90","120","90","75","38","75","50","9","22","20","20","20","10","-","15","15","11","11","11","12","6","6","7","-","-","-","-","-","-","-"
"Salto do Jacu�","4316451","-29.095099999990","-53.213299999990","...","...","...","...","...","...","...","...","...","57","115","65","45","90","52","140","176","60","250","300","180","240","140","65","200","144","96","54","60","60","54","12","36","38","38","19","19","10","10","-","-","-","-","-","-","-","-","-"
